index original filtered
437 2.58614 2.65696
438 2.45103 2.65375
439 2.45418 2.64903
440 2.59159 2.64286
441 2.68892 2.63529
442 2.62268 2.62642
443 2.47691 2.61633
444 2.43656 2.60517
445 2.55282 2.59306
446 2.67819 2.58018
447 2.6536 2.56669
448 2.51025 2.55278
449 2.43002 2.53866
450 2.51471 2.52452
451 2.65686 2.51058
452 2.67612 2.49705
453 2.54805 2.48414
454 2.43514 2.47207
455 2.48065 2.46104
456 2.62683 2.45124
457 2.68822 2.44286
458 2.58692 2.43607
459 2.45147 2.43101
460 2.45371 2.42783
461 2.59081 2.42663
462 2.68882 2.42749
463 2.62338 2.43047
464 2.47753 2.43561
465 2.43631 2.4429
466 2.55203 2.45232
467 2.67786 2.4638
468 2.65415 2.47726
469 2.51099 2.49258
470 2.43001 2.50959
471 2.51396 2.52811
472 2.65632 2.54794
473 2.67648 2.56883
474 2.54885 2.59052
475 2.43537 2.61272
476 2.48002 2.63511
477 2.62615 2.65737
478 2.68835 2.67916
479 2.5877 2.7001
480 2.45191 2.71985
481 2.45326 2.73803
482 2.59004 2.75426
483 2.68871 2.76817
484 2.62408 2.77941
485 2.47815 2.7876
486 2.43607 2.79242
487 2.55123 2.79354
488 2.67752 2.79066
489 2.6547 2.78349
490 2.51173 2.77178
491 2.43 2.75532
492 2.51321 2.73392
493 2.65579 2.70742
494 2.67683 2.67572
495 2.54964 2.63873
496 2.4356 2.59642
497 2.47939 2.54881
498 2.62546 2.49594
499 2.68847 2.43791
500 2.58848 2.37486
501 2.45235 2.30695
502 2.4528 2.23442
503 2.58926 2.15751
504 2.68859 2.07652
505 2.62477 1.99179
506 2.47877 1.90367
507 2.43583 1.81255
508 2.55044 1.71886
509 2.67718 1.62302
510 2.65525 1.52551
511 2.51247 1.42678
512 2.43 1.32733
513 0 1.22765
514 0 1.12822
515 0 1.02954
516 0 0.932086
517 0 0.836334
518 0 0.742742
519 0 0.651747
520 0 0.563767
521 0 0.479191
522 0 0.39838
523 0 0.321663
524 0 0.249334
525 0 0.181648
526 0 0.118823
527 0 0.0610348
528 0 0.00841896
529 0 -0.0389327
530 0 -0.0809706
531 0 -0.117688
532 0 -0.149119
533 0 -0.175341
534 0 -0.19647
535 0 -0.212658
536 0 -0.224095
537 0 -0.231004
538 0 -0.233638
539 0 -0.232277
540 0 -0.227228
541 0 -0.218815
542 0 -0.207382
543 0 -0.193286
544 0 -0.176892
545 0 -0.158574
546 0 -0.138704
547 0 -0.117656
548 0 -0.0957953
549 0 -0.0734805
550 0 -0.0510565
551 0 -0.0288527
552 0 -0.00717954
553 0 0.0136737
554 0 0.0334417
555 0 0.0518855
556 0 0.0687934
557 0 0.0839835
558 0 0.097304
559 0 0.108634
560 0 0.117885
561 0 0.124999
562 0 0.129949
563 0 0.13274
564 0 0.133404
565 0 0.132003
566 0 0.128624
567 0 0.123379
568 0 0.116403
569 0 0.107849
570 0 0.0978891
571 0 0.086709
572 0 0.0745064
573 0 0.0614877
574 0 0.047865
575 0 0.0338535
576 0 0.0196683
577 0 0.00552129
578 0 -0.00838103
579 0 -0.0218407
580 0 -0.0346706
581 0 -0.0466968
582 0 -0.0577604
583 0 -0.0677197
