index original filtered
400 -1.29057 -1.35185
401 -1.47595 -1.39164
402 -1.55388 -1.43096
403 -1.47537 -1.46979
404 -1.38927 -1.50812
405 -1.45345 -1.54594
406 -1.63445 -1.58324
407 -1.74993 -1.62
408 -1.7 -1.65621
409 -1.59394 -1.69186
410 -1.61154 -1.72694
411 -1.77496 -1.76143
412 -1.92061 -1.79532
413 -1.90669 -1.82861
414 -1.79308 -1.86128
415 -1.76537 -1.89331
416 -1.89935 -1.92471
417 -2.06486 -1.95545
418 -2.09089 -1.98553
419 -1.98258 -2.01494
420 -1.91464 -2.04367
421 -2.00971 -2.0717
422 -2.18273 -2.09903
423 -2.24883 -2.12565
424 -2.15793 -2.15155
425 -2.0582 -2.17672
426 -2.10811 -2.20115
427 -2.27532 -2.22484
428 -2.37773 -2.24777
429 -2.31449 -2.26994
430 -2.19396 -2.29134
431 -2.19621 -2.31197
432 -2.34455 -2.33181
433 -2.47594 -2.35086
434 -2.44784 -2.36912
435 -2.31906 -2.38657
436 -2.27513 -2.40322
437 -2.3929 -2.41905
438 -2.54303 -2.43406
439 -2.55407 -2.44824
440 -2.43001 -2.4616
441 -2.3452 -2.47412
442 -2.42312 -2.4858
443 -2.57973 -2.49665
444 -2.63008 -2.50664
445 -2.52296 -2.51579
446 -2.40589 -2.52408
447 -2.43792 -2.53152
448 -2.58785 -2.5381
449 -2.6738 -2.54382
450 -2.59397 -2.54868
451 -2.45582 -2.55267
452 -2.43968 -2.5558
453 -2.57002 -2.55807
454 -2.68432 -2.55946
455 -2.63934 -2.55999
456 -2.49282 -2.55966
457 -2.43023 -2.55845
458 -2.52946 -2.55638
459 -2.66198 -2.55344
460 -2.65593 -2.54964
461 -2.51416 -2.54497
462 -2.41063 -2.53944
463 -2.46967 -2.53305
464 -2.60828 -2.52581
465 -2.64139 -2.5177
466 -2.51672 -2.50875
467 -2.38108 -2.49894
468 -2.39413 -2.48829
469 -2.5258 -2.47679
470 -2.59444 -2.46445
471 -2.49732 -2.45128
472 -2.34096 -2.43728
473 -2.30598 -2.42245
474 -2.41796 -2.4068
475 -2.51497 -2.39034
476 -2.45305 -2.37307
477 -2.28884 -2.35499
478 -2.20776 -2.33611
479 -2.28874 -2.31645
480 -2.40409 -2.29599
481 -2.38151 -2.27476
482 -2.22273 -2.25276
483 -2.10129 -2.23
484 -2.1424 -2.20648
485 -2.26406 -2.18221
486 -2.28113 -2.1572
487 -2.14023 -2.13147
488 -1.98749 -2.10501
489 -1.98313 -2.07783
490 -2.09823 -2.04996
491 -2.15138 -2.02138
492 -2.03891 -1.99213
493 -1.86641 -1.9622
494 -1.81477 -1.9316
495 -1.91071 -1.90035
496 -1.99285 -1.86845
497 -1.91653 -1.83592
498 -1.73731 -1.80277
499 -1.64054 -1.76901
500 -1.70617 -1.73465
501 -1.80735 -1.6997
502 -1.77138 -1.66418
503 -1.59883 -1.62809
504 -1.46286 -1.59145
505 -1.4895 -1.55427
506 -1.5978 -1.51657
507 -1.60252 -1.47835
508 -1.44919 -1.43963
509 -1.28324 -1.40042
510 -1.26549 -1.36074
511 -1.36812 -1.32059
512 -1.41 -1.28
513 -1.2865 -1.23897
514 -1.10229 -1.19753
515 -1.0385 -1.15568
516 -1.123 -1.11344
517 -1.19499 -1.07082
518 -1.10907 -1.02784
519 -0.919735 -0.984505
520 -0.812248 -0.940841
521 -0.867597 -0.896858
522 -0.959768 -0.852571
523 -0.915641 -0.807995
524 -0.734663 -0.763146
525 -0.589564 -0.718038
526 -0.607226 -0.672686
527 -0.707714 -0.627107
528 -0.705717 -0.581315
529 -0.545685 -0.535326
530 -0.372329 -0.489156
531 -0.347034 -0.44282
532 -0.443121 -0.396334
533 -0.479712 -0.349714
534 -0.351247 -0.302976
535 -0.161434 -0.256134
536 -0.0916873 -0.209206
537 -0.170975 -0.162207
538 -0.239083 -0.115153
539 -0.149913 -0.0680598
540 0.043133 -0.0209437
541 0.154887 0.0261795
542 0.103331 0.0732938
543 0.01364 0.120383
544 0.059341 0.167432
545 0.242128 0.214424
546 0.389692 0.261343
547 0.374322 0.308174
548 0.27492 0.3549
549 0.276875 0.401507
550 0.436823 0.447977
551 0.61077 0.494295
552 0.636769 0.540446
553 0.540372 0.586413
554 0.502192 0.632182
555 0.628726 0.677737
556 0.817214 0.723062
557 0.886 0.768142
558 0.80499 0.812962
559 0.73382 0.857506
560 0.819289 0.90176
561 1.00909 0.945708
562 1.11815 0.989336
563 1.06344 1.03263
564 0.969285 1.07557
565 1.00962 1.11815
566 1.18727 1.16035
567 1.33038 1.20216
568 1.31039 1.24355
569 1.20518 1.28453
570 1.20022 1.32507
571 1.35322 1.36517
572 1.52092 1.4048
573 1.54081 1.44395
574 1.43732 1.48262
575 1.3908 1.52078
576 1.50868 1.55843
577 1.68915 1.59555
578 1.75032 1.63213
579 1.66098 1.66815
580 1.58018 1.70362
581 1.65541 1.7385
582 1.83548 1.77279
583 1.93541 1.80649
584 1.87116 1.83957
585 1.7662 1.87203
586 1.79488 1.90385
587 1.96117 1.93503
588 2.09364 1.96555
589 2.06293 1.99541
590 1.94588 2.02459
591 1.92801 2.05309
592 2.06815 2.08089
593 2.22374 2.10798
594 2.23175 2.13436
595 2.11547 2.16002
596 2.05498 2.18494
597 2.15864 2.20913
598 2.32561 2.23257
599 2.37377 2.25525
600 2.27078 2.27716
601 2.17512 2.29831
602 2.23497 2.31867
603 2.40023 2.33825
604 2.48606 2.35704
605 2.40739 2.37503
606 2.28685 2.39221
607 2.29918 2.40858
608 2.4495 2.42414
609 2.56682 2.43888
610 2.52098 2.45279
611 2.38778 2.46587
612 2.35282 2.47811
613 2.47598 2.48951
614 2.61546 2.50007
615 2.6077 2.50978
616 2.47485 2.51865
617 2.39672 2.52665
618 2.48259 2.53381
619 2.63259 2.5401
620 2.66438 2.54553
621 2.54452 2.55011
622 2.43088 2.55381
623 2.47235 2.55665
624 2.61991 2.55863
625 2.68886 2.55974
626 2.59311 2.55998
627 2.45446 2.55935
628 2.44803 2.55786
629 2.58008 2.5555
630 2.68008 2.55227
631 2.61706 2.54818
632 2.46579 2.54323
633 2.41191 2.53741
634 2.51641 2.53073
635 2.63822 2.5232
636 2.61325 2.51481
637 2.46253 2.50557
638 2.36557 2.49548
639 2.4326 2.48455
640 2.56469 2.47277
641 2.57932 2.46016
642 2.44192 2.44671
643 2.30976 2.43243
644 2.33242 2.41733
645 2.46198 2.40141
646 2.51388 2.38467
647 2.40103 2.36713
648 2.24437 2.34879
649 2.21939 2.32965
650 2.33351 2.30972
651 2.41666 2.289
652 2.33707 2.26752
653 2.16846 2.24526
654 2.09654 2.22224
655 2.18335 2.19847
656 2.28861 2.17396
657 2.24766 2.14871
658 2.08044 2.12273
659 1.96615 2.09603
660 2.01594 2.06862
661 2.13187 2.04051
662 2.13119 2.01171
663 1.97824 1.98222
664 1.82967 1.95207
665 1.83574 1.92125
666 1.94966 1.88979
667 1.98697 1.85768
668 1.85961 1.82494
669 1.68765 1.79159
670 1.64695 1.75762
671 1.74608 1.72307
672 1.81543 1.68793
673 1.72243 1.65221
674 1.53978 1.61594
675 1.45321 1.57912
676 1.52585 1.54176
677 1.61815 1.50388
678 1.56497 1.46549
679 1.38508 1.42661
680 1.2574 1.38724
681 1.29399 1.3474
682 1.3979 1.30711
683 1.38617 1.26637
684 1.22202 1.22521
685 1.06149 1.18362
686 1.05553 1.14164
687 1.15843 1.09927
688 1.1859 1.05653
689 1.04887 1.01343
690 0.866528 0.969987
691 0.815122 0.926215
692 0.904354 0.882129
693 0.965088 0.837744
694 0.863967 0.793075
695 0.672632 0.748138
696 0.576843 0.702947
697 0.640813 0.657518
698 0.725755 0.611866
699 0.66599 0.566007
700 0.479177 0.519956
701 0.343927 0.473729
702 0.373205 0.427341
703 0.471025 0.380809
704 0.454251 0.334147
705 0.284979 0.287372
706 0.118646 0.2405
707 0.106837 0.193547
708 0.204977 0.146528
709 0.228908 0.0994587
710 0.0885638 0.0523562
711 -0.0977379 0.00523598
712 -0.153391 -0.041886
713 -0.0675552 -0.0889939
714 -0.00889027 -0.136072
715 -0.111544 -0.183103
716 -0.304928 -0.230073
717 -0.40326 -0.276964
718 -0.341257 -0.323762
719 -0.256948 -0.37045
720 -0.316521 -0.417012
721 -0.503454 -0.463434
722 -0.639453 -0.509698
723 -0.610649 -0.555789
724 -0.512052 -0.601692
725 -0.526984 -0.647392
726 -0.694467 -0.692872
727 -0.859691 -0.738117
728 -0.870414 -0.783112
729 -0.770106 -0.827841
730 -0.74277 -0.872291
731 -0.879471 -0.916444
732 -1.06277 -0.960287
733 -1.11572 -1.00381
734 -1.02633 -1.04698
735 -0.962792 -1.08981
736 -1.06003 -1.13226
737 -1.24853 -1.17433
738 -1.34248 -1.216
739 -1.27555 -1.25726
740 -1.18498 -1.29809
741 -1.23749 -1.33849
742 -1.41769 -1.37843
743 -1.54761 -1.4179
744 -1.51248 -1.4569
745 -1.40633 -1.4954
746 -1.41268 -1.53339
747 -1.57166 -1.57086
748 -1.72909 -1.6078
749 -1.73209 -1.6442
750 -1.62302 -1.68004
751 -1.58572 -1.71531
752 -1.71226 -1.75
753 -1.88608 -1.78409
754 -1.9299 -1.81758
755 -1.83059 -1.85046
